name,calories,carbs,protein,fat,minerals,vitamins,substitutes
Seitan,370,14,75,2,"['Iron', 'Selenium']","['B1', 'B3']",[]
Tempeh,192,9,20,11,"['Iron', 'Magnesium', 'Phosphorus']","['B12', 'B6']",['Seitan']
Tofu,76,2,8,4,"['Calcium', 'Iron', 'Magnesium', 'Phosphorus']",['B Vitamins'],"['Seitan', 'Tempeh']"
Chicken,165,0,31,3.6,"['Phosphorus', 'Selenium']","['B3', 'B6']",['Tofu']
Turkey,189,0,29,7,"['Phosphorus', 'Selenium', 'Zinc']","['B3', 'B6', 'B12']","['Tofu', 'Chicken']"
Bacon,42,0.1,3,3.3,"['Selenium', 'Phosphorus']","['B1', 'B2']",['Tempeh']
Turkey bacon,108,0.3,13,6,"['Sodium', 'Selenium']","['B3', 'B12']","['Tempeh', 'Bacon']"
Beef,250,0,26,17,"['Iron', 'Zinc', 'Phosphorus']","['B12', 'B6']","['Seitan', 'Tofu', 'Chicken']"
Haddock,90,0,20,0.9,"['Selenium', 'Phosphorus']","['B12', 'B6']",[]
Cod,82,0,18,0.7,"['Selenium', 'Phosphorus']","['B12', 'B6']",['Haddock']
Tilapia,128,0,26,2.7,"['Selenium', 'Phosphorus']",['B12'],['Cod']
Catfish,105,0,18,3.3,"['Selenium', 'Phosphorus']","['B12', 'D']","['Cod', 'Tilapia']"
Lentils,116,20.1,9,0.4,"['Iron', 'Phosphorus']",['B9'],[]
Chickpeas,164,27.4,8.9,2.6,"['Iron', 'Phosphorus']","['B9', 'C']",['Lentils']
Black beans,132,23.7,8.9,0.5,"['Iron', 'Magnesium']","['B9', 'B1']","['Lentils', 'Chickpeas']"
Peas,81,14.5,5.4,0.4,"['Iron', 'Magnesium']","['A', 'C', 'K']",['Lentils']
Shallots,72,16.8,2.5,0,"['Potassium', 'Iron']","['A', 'B6', 'C']",[]
Leeks,61,14.4,1.5,0.3,"['Iron', 'Manganese']","['K', 'A', 'C']",['Shallots']
Onions,44,10,1,0,"['Potassium', 'Chromium']","['Vitamin C', 'Folate']","['Shallots', 'Leeks']"
Garlic,9,2,0.4,0,"['Manganese', 'Selenium']","['Vitamin C', 'Vitamin B6']",['Shallots']
Garlic powder,331,72.7,16.8,0.7,"['Calcium', 'Iron']","['C', 'B6']","['Shallots', 'Garlic']"
